"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
36,"NCT01982448","Cisplatin vs Paclitaxel for Triple Neg","Recruiting","No Results Available","Triple Negative Breast Cancer","Drug: Cisplatin|Drug: Paclitaxel","Dana-Farber Cancer Institute|Myriad Genetics, Inc.|Translational Breast Cancer Research Consortium","Female","18 Years and older   (Adult, Senior)","Phase 2","160","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","13-383|TBCRC030","October 28, 2013","February 2014","June 2021","December 19, 2016","December 2016","No Study Results Posted","null","November 2017","To compare the pathologic response to neoadjuvant platinum-based chemotherapy in TNBC with and without HR-deficiency, defined as a high HRD score or a BRCA mutation|To compare the pathologic response to neoadjuvant taxane-based chemotherapy in TNBC with and without HR-deficiency, defined as a high HRD score or a BRCA mutation|To evaluate whether the positive predictive value of HR-deficiency is greater for TNBC treated with cisplatin, as compared to TNBC treated with paclitaxel.|To determine the association of HR-deficiency with pathologic complete response (pCR) to neoadjuvant platinum-based chemotherapy in TNBC.|To determine the association of HR-deficiency with pCR to neoadjuvant taxane-based therapy in TNBC.|To evaluate clinical and pathologic responses in TNBC treated with preoperative cisplatin and paclitaxel.|To evaluate the performance of the HRD-LOH assay, the HRD-TAI assay, and the HRDLST assay, to predict pathologic response to cisplatin or taxane therapy in TNBC.","https://ClinicalTrials.gov/show/NCT01982448"
37,"NCT02128906","Radiotherapy With Cisplatin vs. Docetaxel-cetuximab in HNSCC: ERCC1 Biomarker Enrichment and Interaction Design","Recruiting","No Results Available","Squamous Cell Carcinoma","Drug: Cisplatin|Radiation: IMRT|Drug: Docetaxel|Drug: Cetuximab","University of Pittsburgh","All","18 Years and older   (Adult, Senior)","Phase 2","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","UPCI 13-056","April 29, 2014","December 2013","December 2019","November 1, 2016","November 2016","No Study Results Posted","(UPCI)13-056","December 2017","Evaluate the efficacy of radiotherapy with concurrent docetaxel-cetuximab vs. cisplatin in patients with locally advanced HNSCC and increased tumoral ERCC1 expression, as measured by time to progression (TTP)|Evaluate the efficacy of radiotherapy with concurrent docetaxel-cetuximab vs. cisplatin in patients with PULA HNSCC and decreased/normal tumoral ERCC1 expression, as measured by TTP|Evaluate the efficacy of radiotherapy with concurrent docetaxel-cetuximab vs. cisplatin in all patients irrespective of ERCC1 status, as measured by TTP|Prospectively validate the candidate cutpoint for decreased/normal vs. increased ERCC1 [4F9] expression in patients treated with cisplatin-IMRT|Prospectively investigate two sets of radiologic interpretive criteria, including RECIST 1.1 and integrated PET/CT, for the designation of complete response (CR), and to compare the ability of the two CR classifications to accurately predict 2-year TTP.","https://ClinicalTrials.gov/show/NCT02128906"
38,"NCT00528619","A Study To Find The Best Dose Of SU011248 When Given With Pemetrexed, Pemetrexed And Cisplatin Or Pemetrexed And Carboplatin In Patients With Advanced Solid Tumors","Completed","No Results Available","Neoplasms","Drug: Sunitinib, Pemetrexed, Cisplatin, Carboplatin","Pfizer","All","18 Years and older   (Adult, Senior)","Phase 1","96","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","A6181084","September 10, 2007","November 2006","April 2010","April 7, 2011","April 2011","No Study Results Posted","null","April 2010","To determine maximally tolerated dose of SU011248 (dosed continuously or on a 2/1 Schedule) when given in combination with pemetrexed, pemetrexed and cisplatin or pemetrexed and carboplatin.|To evaluate the plasma pharmacokinetics of SU011248 and its metabolite, SU012662 in addition to pemetrexed, SU011248 and pemetrexed/cisplatin, and SU011248 and pemetrexed/carboplatin when these drugs are co-administered.|To preliminarily assess the antitumor activity of SU011248 in addition to pemetrexed, SU011248 and pemetrexed/cisplatin, and SU011248 and pemetrexed/carboplatin in patients with non-small cell lung cancer or advanced unresectable mesothelioma.","https://ClinicalTrials.gov/show/NCT00528619"
39,"NCT00443261","Azacitidine and Cisplatin for Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck","Terminated","Has Results","Squamous Cell Carcinoma","Drug: Azacitidine|Drug: Cisplatin","University of Kansas Medical Center|Celgene Corporation","All","18 Years and older   (Adult, Senior)","Phase 1","1","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","10498","March 2, 2007","February 2007","June 2008","January 8, 2017","January 2017","January 8, 2016","null","June 2008","Evaluate the Safety and Toxicity of Azacitidine (5-azacytidine, Vidaza®) and Cisplatin Combination","https://ClinicalTrials.gov/show/NCT00443261"
40,"NCT01674842","Cisplatin + RT for Triple Negative Breast Cancer","Recruiting","No Results Available","Breast Cancer","Radiation: Radiation Therapy|Drug: Cisplatin","Dana-Farber Cancer Institute","All","18 Years and older   (Adult, Senior)","Phase 1","39","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","12-283","August 23, 2012","October 2012","October 2018","August 1, 2016","August 2016","No Study Results Posted","null","January 2017","Safety of Cisplatin w/ Radiation|Local recurrence at 5 years|Long term toxicity","https://ClinicalTrials.gov/show/NCT01674842"
41,"NCT00436657","Continuous Hyperthermic Peritoneal Perfusion (CHPP) With Cisplatin for Children With Peritoneal Cancer","Completed","No Results Available","Peritoneal Neoplasms|Retroperitoneal Neoplasms|Gastrointestinal Neoplasms|Adenocarcinoma|Neuroblastoma|Ovarian Neoplasms|Sarcoma|Adrenocortical Carcinoma|Wilms Tumor|Rhabdomyosarcoma|Desmoplastic Small Round Cell Tumor","Drug: CHPP of Cisplatin|Procedure: Abdominal Surgery","M.D. Anderson Cancer Center","All","3 Years to 18 Years   (Child, Adult)","Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2005-0917","February 15, 2007","February 2007","April 2011","March 29, 2012","March 2012","No Study Results Posted","null","April 2011","Maximum Tolerated Dose (MTD) of continuous hyperthermic peritoneal perfusion (CHPP) with cisplatin in children with peritoneal cancer","https://ClinicalTrials.gov/show/NCT00436657"
42,"NCT00165555","Pleurectomy/Decortication Followed by Intrathoracic/Intraperitoneal Heated Cisplatin for Malignant Pleural Mesothelioma","Completed","No Results Available","Pleural Mesothelioma|Malignant Pleural Mesothelioma","Drug: Cisplatin|Drug: Sodium Thiosulfate","Dana-Farber Cancer Institute|Brigham and Women's Hospital","All","18 Years and older   (Adult, Senior)","Phase 1","70","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","99-124","September 12, 2005","August 1999","November 2009","March 26, 2014","March 2014","No Study Results Posted","null","April 2002","To determine the maximally tolerated dose of intracavitary cisplatin in patients with malignant pleural mesothelioma,|To quantitate the safety of intraoperative intrathoracic/intraperitoneal hyperthermic cisplatin|to study the pharmacokinetics of cisplatin administered in this way.","https://ClinicalTrials.gov/show/NCT00165555"
43,"NCT01670500","Cisplatin vs. Doxorubicin/Cyclophosphamide in BrCa","Recruiting","No Results Available","Breast Cancer","Drug: Cisplatin|Drug: Cyclophosphamide|Drug: Doxorubicin","Beth Israel Deaconess Medical Center|Dana-Farber Cancer Institute","All","18 Years and older   (Adult, Senior)","Phase 2","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","12-258","August 16, 2012","October 2012","June 2018","February 4, 2017","February 2017","No Study Results Posted","null","June 2018","pCR to neoadjuvant cisplatin vs. pCR to AC|Residual Cancer Burden after neoadjuvant cisplatin or AC|Clinical response rate|Comparison of toxicities of cisplatin and AC|Collection of pre-chemotherapy biopsies","https://ClinicalTrials.gov/show/NCT01670500"
44,"NCT00858663","Radiation Therapy (IMRT) + RAD001 (Everolimus) + Cisplatin for Patients With Head and Neck Cancer","Completed","No Results Available","Head and Neck Cancer","Radiation: intensity modulated radiation therapy|Drug: RAD001 (everolimus) + Cisplatin","Memorial Sloan Kettering Cancer Center|Novartis Pharmaceuticals","All","18 Years and older   (Adult, Senior)","Phase 1","13","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","08-138","March 6, 2009","March 2009","July 2013","July 23, 2013","July 2013","No Study Results Posted","null","July 2013","To establish the phase II recommended dose of oral RAD001 (everolimus) tablets + weekly intravenous cisplatin given concurrently with radiation therapy.|To evaluate the safety and tolerability of oral RAD001 + radiation therapy + intravenous cisplatin.|To estimate the incidence of over-expression of eIF4E in surgical margins by immunohistochemistry (IHC).(only for those subjects who undergo primary surgery)|To describe the pharmacokinetics of RAD001 administered by PEG (percutaneous gastrostomy) tube.","https://ClinicalTrials.gov/show/NCT00858663"
45,"NCT01073839","Adjuvant Cisplatin Plus Gemcitabine in Operable Cholangiocellular Carcinoma.","Completed","No Results Available","Cholangiocellular Carcinoma","Drug: Cisplatin and Gemcitabine","University of Zurich","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","33","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ONK USZ 001-2008","June 25, 2009","August 2008","August 2015","September 17, 2015","September 2015","No Study Results Posted","null","August 2015","Occurence of Grade 3 or 4 toxicities according to NCI-common terminology criteria for adverse events v3.0|Disease-free survival","https://ClinicalTrials.gov/show/NCT01073839"
46,"NCT03079427","Adjuvant Capecitabine vs Gemcitabine Plus Cisplatin in Resected Extrahepatic Cholangiocarcinoma","Not yet recruiting","No Results Available","Cholangiocarcinoma|Biliary Tract Cancer|Adjuvant Chemotherapy|Capecitabine|Gemcitabine|Cisplatin","Drug: Gemcitabine plus cisplatin|Drug: Capecitabine","Asan Medical Center","All","19 Years and older   (Adult, Senior)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","Asan-ONCHBP-2017-001","March 9, 2017","April 2017","April 2022","March 13, 2017","March 2017","No Study Results Posted","null","April 2021","2-year disease-free survival|Disease-free survival|Toxicities (Adverse events related with chemotherapy)|Overall survival","https://ClinicalTrials.gov/show/NCT03079427"
47,"NCT02225405","Induction Study of Cisplatin, Docetaxel, and Nintedanib Stage IB-IIIA Non-Small Cell Lung Cancer (NCLC)","Recruiting","No Results Available","Lung Cancer","Drug: Nintedanib|Drug: Cisplatin|Drug: Docetaxel","M.D. Anderson Cancer Center|Boehringer Ingelheim","All","18 Years and older   (Adult, Senior)","Phase 1","45","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","2013-0844|NCI-2014-02091","August 22, 2014","April 2015","June 2020","March 8, 2017","March 2017","No Study Results Posted","null","June 2020","Major Pathologic Response Rate|Toxicity of Nintedanib Given With Cisplatin and Docetaxel|Recurrence-Free Survival","https://ClinicalTrials.gov/show/NCT02225405"
48,"NCT00003369","S9717 Tirapazamine Plus Cisplatin in Treating Patients With Metastatic, Recurrent, or Refractory Cervical Cancer","Completed","No Results Available","Cervical Cancer","Drug: cisplatin|Drug: tirapazamine","Southwest Oncology Group|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 2","56","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000066358|SWOG-S9717|U10CA032102","November 1, 1999","August 1998","July 2004","June 13, 2012","June 2012","No Study Results Posted","null","October 2003","overall survival","https://ClinicalTrials.gov/show/NCT00003369"
49,"NCT00915382","Trial of 3-weekly Versus 5-weekly Schedule of S-1 Plus Cisplatin in Gastric Cancer","Completed","No Results Available","Advanced Gastric Cancer","Drug: S-1 and cisplatin|Drug: S-1 and cisplatin","Asan Medical Center|Samsung Medical Center|Kyungpook National University|Seoul Veterans Hospital|National Cancer Center, Korea|Ulsan University Hospital|Inje University|Chonbuk National University Hospital|Gachon University Gil Medical Center|Korea Cancer Center Hospital|Yeungnam University College of Medicine|Hallym University Medical Center|Chonnam National University Hospital","All","18 Years to 74 Years   (Adult, Senior)","Phase 3","625","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","SOS","June 5, 2009","January 2009","May 2013","January 13, 2014","January 2014","No Study Results Posted","SOS","May 2013","progression-free survival|overall survival","https://ClinicalTrials.gov/show/NCT00915382"
